Demographics, US by State, Population, Age 18-39 (Both Sexes - 2017 to 2021), 2017 - 2021
Area,State FIPS,Percent
"District of Columbia","11","42.0"
"Utah","49","33.1"
"North Dakota","38","32.4"
"Alaska","2","32.3"
"Colorado","8","32.1"
"California","6","31.4"
"Texas","48","31.3"
"Washington","53","30.9"
"Massachusetts","25","30.6"
"Rhode Island","44","30.5"
"New York","36","30.1"
"Georgia","13","30.1"
"Virginia","51","30.0"
"Louisiana","22","29.9"
"Oklahoma","40","29.9"
"Oregon","41","29.8"
"Nebraska","31","29.6"
"Nevada","32","29.6"
"Kansas","20","29.6"
"Arizona","4","29.5"
"Illinois","17","29.5"
"Indiana","18","29.2"
"Tennessee","47","29.1"
"New Mexico","35","29.1"
"North Carolina","37","29.1"
"Maryland","24","29.1"
"Hawaii","15","29.1"
"Wyoming","56","29.1"
"Mississippi","28","29.0"
"South Dakota","46","29.0"
"Minnesota","27","29.0"
"Iowa","19","28.9"
"Idaho","16","28.9"
"Missouri","29","28.9"
"Arkansas","5","28.6"
"Kentucky","21","28.6"
"Alabama","1","28.4"
"Michigan","26","28.4"
"Wisconsin","55","28.4"
"South Carolina","45","28.4"
"Montana","30","28.4"
"Vermont","50","28.4"
"Ohio","39","28.3"
"Pennsylvania","42","28.2"
"Connecticut","9","28.2"
"New Jersey","34","27.9"
"Delaware","10","27.6"
"New Hampshire","33","27.5"
"Florida","12","27.2"
"West Virginia","54","26.3"
"Maine","23","25.9"

"undefined"
